ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B
467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,C
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,D
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
459749,Male,Yes,59,Yes,Entertainment,,Low,4.0,Cat_4,A
462059,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A
459478,Male,Yes,46,Yes,Artist,,Low,1.0,Cat_6,A
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
460054,Male,Yes,38,Yes,Artist,,Low,2.0,Cat_6,C
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
467539,Male,Yes,48,Yes,Artist,,Average,4.0,Cat_7,C
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B
465837,Male,No,62,Yes,,0.0,Low,1.0,Cat_6,A
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
460197,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C
467343,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C
